뉴스 url,제목,내용,날짜
https://news.kbs.co.kr//news/view.do?ncd=7909803,"“마하 5에 도달”…미 기업, 극초음속 무인항공기 시험 성공 밝혀 [현장영상]", 미국 항공우주 회사 스트라토런치가 지난 9일(현지시간) 극초음속 연구를 위한 새로운 무인...,2024.03.10 (19:17)
https://news.kbs.co.kr//news/view.do?ncd=7909801,경기 고양시 아파트 화재…1명 부상·77명 대피,오늘(10일) 오전 9시 50분쯤 경기 고양시 일산서구의 23층짜리 아파트 10층에서 불이...,2024.03.10 (19:08)
https://news.kbs.co.kr//news/view.do?ncd=7909800,"합참의장, 한미훈련 점검…“적 도발에 압도적 대응”",김명수 합참의장이 오늘(10일) 육군 2작전사령부와 공군 공중전투사령부 현장 지도를 통해 ...,2024.03.10 (19:08)
https://news.kbs.co.kr//news/view.do?ncd=7909799,"‘수사 외압 의혹’ 이종섭, 오늘 호주 출국 예정",이종섭 주호주 대사 내정자가 오늘(10일) 저녁 인천국제공항을 통해 호주 브리즈번으로 출국...,2024.03.10 (19:06)
https://news.kbs.co.kr//news/view.do?ncd=7909798,미술품 수집가 뱅크시 작품 진위 소송…뱅크시 본명 확인 여부 등 관심,영국의 유명 그라피티 미술가 뱅크시의 작품을 두고 진위 여부를 확인해달라는 소송이 제기되면...,2024.03.10 (19:06)
https://news.kbs.co.kr//news/view.do?ncd=7909797,욕지도 전복 어선 예인…이틀째 실종자 집중 수색, [앵커] 어제 경남 통영 욕지도 앞바다에서 어선이 뒤집히는 사고가 나 4명이 숨지고 5명...,2024.03.10 (19:05)
https://news.kbs.co.kr//news/view.do?ncd=7909796,내일부터 군의관·공중보건의 파견…의대 교수 반발 커져," [앵커] 전공의들의 집단 사직으로 의료 공백이 계속되는 가운데,  정부가 내일부터  군의...",2024.03.10 (19:03)
https://news.kbs.co.kr//news/view.do?ncd=7909795,대통령실 “민생만 관심…유·불리 판단 안타까워”,"대통령실은 이재명 더불어민주당 대표가 민생토론회를 '관권 선거'라고 비판하는 데 대해 ""대...",2024.03.10 (19:02)
https://news.kbs.co.kr//news/view.do?ncd=7909794,[총선] 국민의미래 530명 비례 공천 신청…이재명 “4.10은 심판의 날”, [앵커] 4.10 총선이 이제 한달 앞으로 다가왔습니다. 한동훈 국민의힘 비대위원장은  ...,2024.03.10 (19:00)
https://news.kbs.co.kr//news/view.do?ncd=7909793,"[총선] 국민의힘, 이재명 ‘151석’ 발언에 “자기 안위 못지킬까 걱정 큰듯”",국민의힘은 오늘(10일) 더불어민주당 이재명 대표가 4·10 총선 지지를 호소하는 기자회견...,2024.03.10 (18:59)
https://news.kbs.co.kr//news/view.do?ncd=7909792,[총선] 한동훈 “이재명 민주당 폭주 저지…정치개혁·민생정치 열겠다”,한동훈 국민의힘 비상대책위원장은 4·10 총선을 한달 앞둔 오늘(10일) “‘운동권 특권세...,2024.03.10 (18:59)
https://news.kbs.co.kr//news/view.do?ncd=7909790,“일본 기시다 지지율 20%”…교도통신 조사서 또 최저,하락세를 거듭하는 기시다 후미오 일본 내각 지지율이 또 최저치를 기록했습니다. 일본 교도통...,2024.03.10 (18:37)
https://news.kbs.co.kr//news/view.do?ncd=7909789,충북 옥천·청주서 임야 화재 잇따라…“잡풀·쓰레기 소각 실화 추정”,건조한 날씨 속 충북에서 크고 작은 산불이 잇따랐습니다.  오늘(10일) 오후 3시 반쯤 ...,2024.03.10 (18:32)
https://news.kbs.co.kr//news/view.do?ncd=7909788,"[총선] 이낙연, 광주 광산을 출마 선언…“호남을 다시 자랑스럽게”",새로운미래 이낙연 대표가 오늘(10일) “광주와 호남을 다시 자랑스럽게 만들겠다”면서 광주...,2024.03.10 (18:32)
https://news.kbs.co.kr//news/view.do?ncd=7909787,[총선] 이재명 “4월 총선은 반국민세력과 국민의 대결…남은 건 심판뿐”,총선을 한 달 남기고 더불어민주당 이재명 대표는 “심판의 날을 향해 필사즉생의 이기는 선거...,2024.03.10 (18:32)
https://news.kbs.co.kr//news/view.do?ncd=7909786,내일 서울의대 교수들 긴급 총회…의대 증원 대책 논의,서울대 의과대학 교수들이 내일 긴급 총회를 열고 의대 증원 정책 대응 방안 등을 논의합니다...,2024.03.10 (17:28)
https://news.kbs.co.kr//news/view.do?ncd=7909785,내일 오후 제주·남부지방부터 비…밤사이 전국 확대,"오늘 밤은 전국에 차차 구름이 많이 끼겠습니다. 내일은 오후에 호남지방과 경남 서부, 제주...",2024.03.10 (17:27)
https://news.kbs.co.kr//news/view.do?ncd=7909784,경기 고양시 아파트 화재…1명 부상·77명 대피,오늘(10일) 오전 9시 50분쯤 경기 고양시 일산서구의 23층짜리 아파트 10층에서 불이...,2024.03.10 (17:27)
https://news.kbs.co.kr//news/view.do?ncd=7909783,"이종섭, 오늘 호주로 출국…여 “공무수행” 야 “핵심 피의자”",■ 출국금지 상태로 '주호주대사 임명' … 이종섭 내정자 오늘 출국국방부 장관 재직 당시 ...,2024.03.10 (17:12)
https://news.kbs.co.kr//news/view.do?ncd=7909781,"일본인 68%, “원전 오염수 방류 설명 충분치 않아”",일본인 10명 중 7명은 후쿠시마 원전 오염수의 해양 방류에 대해 일본 정부 등의 설명이 ...,2024.03.10 (17:10)
https://news.kbs.co.kr//news/view.do?ncd=7909780,나이지리아서 또다시 어린이 집단 납치,아프리카 나이지리아에서 또다시 집단 납치사건이 발생했습니다.AP통신은 현지시각 9일 새벽 ...,2024.03.10 (17:07)
https://news.kbs.co.kr//news/view.do?ncd=7909779,곳곳에서 산불…산불재난 위기경보 ‘주의’,오늘 낮 12시 30분쯤 경남 함양군 백전면의 야산에서 불이 나 30분 만에 껴졌습니다.오...,2024.03.10 (17:06)
https://news.kbs.co.kr//news/view.do?ncd=7909778,실종자 수색 이틀째…사고 어선 예인 완료, [앵커] 어제 경남 통영 욕지도 앞바다에서 어선이 전복되는 사고가 나 4명이 숨지고  5...,2024.03.10 (17:04)
https://news.kbs.co.kr//news/view.do?ncd=7909777,이종섭 주호주 대사 오늘 호주로 출국 예정,주호주 대사로 부임 예정인 이종섭 전 국방부 장관이 오늘 저녁 인천국제공항을 통해 호주 브...,2024.03.10 (17:04)
https://news.kbs.co.kr//news/view.do?ncd=7909776,"합참의장, 2작전사·미사일방어 작전센터 시찰…“FS연습 점검”",정례 한미연합훈련인 ‘자유의 방패’(Freedom Shield) 연습 일주일 째를 맞아 김...,2024.03.10 (17:03)
https://news.kbs.co.kr//news/view.do?ncd=7909775,"해수부·해경, 1개월간 수입수산물 원산지 표시 특별점검",해양수산부와 해양경찰청은 내일(11일)부터 다음 달 12일까지 수입 수산물 원산지 표시 특...,2024.03.10 (17:03)
https://news.kbs.co.kr//news/view.do?ncd=7909774,내일부터 군의관·공중보건의 파견…의대 교수 반발 커져," [앵커] 전공의들의 집단 사직으로 의료 공백이 계속되는 가운데,  정부가 내일부터  군의...",2024.03.10 (17:02)
https://news.kbs.co.kr//news/view.do?ncd=7909773,[총선] 국민의미래 530명 비례 공천 신청…이재명 “4.10은 심판의 날”, [앵커] 4.10 총선이 이제 한달 앞으로 다가왔습니다. 국민의힘 위성정당인 국민의미래에...,2024.03.10 (17:00)
https://news.kbs.co.kr//news/view.do?ncd=7909771,"대구가톨릭의대 교수들, 전공의 지지 성명…“자유 억압 공권력 멈춰야”",대구가톨릭의대 교수들이 의대생과 전공의를 상대로 한 자유를 억압하는 공권력을 멈춰달라고 정...,2024.03.10 (16:51)
https://news.kbs.co.kr//news/view.do?ncd=7909770,"대통령실, ‘관권선거’ 비판에 “대통령, 민생만 관심…정치적 유불리 판단 안타까워”",대통령실은 이재명 더불어민주당 대표가 민생토론회를 ‘관권선거’라고 연일 비판하는데 대해 “...,2024.03.10 (16:51)
https://news.kbs.co.kr//news/view.do?ncd=7909769,경북 영천서 임야 화재…0.03ha 불에 타,오늘(10일) 오후 1시 50분쯤 경북 영천시 화산면의 야산에서 불이 나 임야 0.03ha...,2024.03.10 (16:38)
https://news.kbs.co.kr//news/view.do?ncd=7909768,"국민의힘 “이종섭 출국, 공무수행 위한 것…외교에 ‘정쟁’ 안돼”",국민의힘은 오늘(10일) 주호주대사로 부임 예정인 이종섭 전 국방장관이 호주로 출국할 것으...,2024.03.10 (16:29)
https://news.kbs.co.kr//news/view.do?ncd=7909767,탄자니아에서 바다거북 고기 먹고 9명 사망·78명 입원,아프리카 탄자니아의 자치령인 잔지바르에서 바다거북 고기를 먹은 뒤 9명이 사망하고 수십 명...,2024.03.10 (15:57)
https://news.kbs.co.kr//news/view.do?ncd=7909766,후티 공격에 결국 침몰한 영국 선박…처음과 마지막 순간 공개 [현장영상], 후티 무장세력의 공격을 받은 영국 소유의 선박 루비마르호가 공격을 받은 '첫 순간'과 침...,2024.03.10 (15:51)
https://news.kbs.co.kr//news/view.do?ncd=7909765,‘AI 대부’ 제프리 힌턴 “10년내 인간 살상하는 로봇 등장할 것”,인공지능(AI) 분야의 대부로 불리는 제프리 힌턴 캐나다 토론토대 명예교수가 “10년 내에...,2024.03.10 (15:49)
https://news.kbs.co.kr//news/view.do?ncd=7909761,충남 공주 정안면 야산서 불…1시간 만에 꺼져,건조한 날씨 속에 충남에서 산불이 잇따랐습니다. 오늘(10일) 오후 2시 40분쯤 충남 공...,2024.03.10 (15:38)
https://news.kbs.co.kr//news/view.do?ncd=7909760,전국 의대생 30% ‘유효’ 휴학 신청…누적 5천445명,정부의 의대 증원 방침에 반발해 휴학계를 제출한 의대생이 5천445명에 이르는 것으로 집계...,2024.03.10 (15:32)
https://news.kbs.co.kr//news/view.do?ncd=7909759,"[총선] 민주, ‘경선 금지행위’ 신정훈·안호영 측에 경고 조치",더불어민주당 현역 신정훈·안호영 의원이 경선 과정에서 금지 행위를 했다가 당으로부터 경고 ...,2024.03.10 (15:23)
https://news.kbs.co.kr//news/view.do?ncd=7909758,이준석 “우리 편이면 출국 금지도 무력화…공정·상식 어딨나”,이준석 개혁신당 대표는 오늘(10일) '해병대 채 상병 사건 수사 외압 의혹'으로 수사를 ...,2024.03.10 (15:22)
https://news.kbs.co.kr//news/view.do?ncd=7909757,이종섭 주호주대사 오늘 호주로 출국 예정,주호주대사로 부임 예정인 이종섭 전 국방부 장관이 오늘(8일) 대사 임명 6일 만에 호주로...,2024.03.10 (15:14)
https://news.kbs.co.kr//news/view.do?ncd=7909756,"[총선] 한동훈, 이번주 수도권·PK·호남 순회…험지·격전지 집중공략",한동훈 국민의힘 비상대책위원장이 지난주에 이어 이번 주에도 전국 '험지'와 '격전지'를 찾...,2024.03.10 (14:56)
https://news.kbs.co.kr//news/view.do?ncd=7909755,"일본인 68%, 후쿠시마 오염수 방류 “대내외 설명 충분치 않아”",일본인 10명 중 7명은 후쿠시마 제1원자력발전소 오염수의 해양 방류에 대한 일본 정부와 ...,2024.03.10 (14:51)
https://news.kbs.co.kr//news/view.do?ncd=7909754,"[총선] 국민의힘 “이재명 ‘2찍’ 발언, 국민 편가르기…공천 자화자찬에 실소”",호준석 국민의힘 대변인은 오늘(10일) 더불어민주당 이재명 대표의 ‘2찍’ 발언에 대해 “...,2024.03.10 (14:49)
https://news.kbs.co.kr//news/view.do?ncd=7909753,"대법 “중복보험사끼리 알아서 나눈 돈, 고객에 반환청구 불가”",고객에게 보험금을 선지급한 뒤 중복 가입 보험사끼리 자체적으로 이를 분담했다면 추후 잘못 ...,2024.03.10 (14:49)
https://news.kbs.co.kr//news/view.do?ncd=7909751,가자지구 해상지원 임시부두 건설 위해 미군 물류지원함 출항,가자지구 해상 지원을 위한 임시부두 건설을 위해 미군 물류지원함이 지중해로 출항했다고 미 ...,2024.03.10 (14:45)
https://news.kbs.co.kr//news/view.do?ncd=7909750,"5대 금융지주 사외이사, 지난해 평균 보수 7,500만 원",주요 금융지주의 사외이사들이 지난해 1인당 평균 7천5백만 원이 넘는 보수를 받은 것으로 ...,2024.03.10 (14:31)
https://news.kbs.co.kr//news/view.do?ncd=7909749,‘재건축진단’으로 개명 추진하는 안전진단…30년 만의 개명,"재건축 안전진단의 명칭을 ‘재건축진단’으로 바꾸고 주차난과 층간소음, 배관 문제 등으로 주...",2024.03.10 (14:17)
https://news.kbs.co.kr//news/view.do?ncd=7909748,너무 비싼 과일…1인당 소비량 15년간 19% 줄어,한국인의 1인당 과일 소비량이 지난 15년간 20% 가까이 줄어든 것으로 나타났습니다. 농...,2024.03.10 (14:12)
https://news.kbs.co.kr//news/view.do?ncd=7909747,경남 함양 백전면 산불…태양열 발전패널에서 시작 추정,오늘 낮 12시 27분쯤 경남 함양군 백전면의 산에서 불이 났습니다. 산림청과 소방당국은 ...,2024.03.10 (14:12)
https://news.kbs.co.kr//news/view.do?ncd=7909746,"“과일·채소, 3월에도 가격 오른다”","농산물 가격이 고공행진을 하면서 이번 달(3월)에도 과일, 채소 가격이 높은 수준을 유지할...",2024.03.10 (14:12)
https://news.kbs.co.kr//news/view.do?ncd=7909745,“내일부터 군의관 20명·공중보건의 138명 파견”,정부가 의료계 집단행동에 대응하기 위해 군의관과 공중보건의 150여 명을 내일부터 투입합니...,2024.03.10 (14:12)
https://news.kbs.co.kr//news/view.do?ncd=7909744,전국 맑고 건조해…내일 오후부터 남부 비,오늘은 전국에 대체로 맑고 건조한 날씨가 이어지다 밤부터 차차 구름이 많아지겠습니다.  내...,2024.03.10 (14:12)
https://news.kbs.co.kr//news/view.do?ncd=7909743,"불법합병 의혹 이재용 ‘1심 무죄’, 앞선 확정 판결과 다른 점은?",제일모직-삼성물산 부당합병과 삼성바이오로직스 회계조작 의혹으로 재판에 넘겨진 이재용 삼성전...,2024.03.10 (13:56)
https://news.kbs.co.kr//news/view.do?ncd=7909742,나이지리아 어린이 15명 또 피랍…이달에만 500명 넘어,아프리카 나이지리아 기숙사에서 학생 수백 명이 납치된 지 이틀 만에 또다시 집단 납치사건이...,2024.03.10 (13:47)
https://news.kbs.co.kr//news/view.do?ncd=7909741,"블룸버그 “미국, 중국반도체 업체 6곳 추가 제재 검토”",미국이 중국의 주요 D램 반도체업체인 창신메모리테크놀로지(CXMT)를 포함해 중국 반도체업...,2024.03.10 (13:13)
https://news.kbs.co.kr//news/view.do?ncd=7909740,"일본, 군용 안테나 인도 수출 조율 중",일본 정부가 군용 안테나를 인도에 수출하는 방안을 조율 중이라고 니혼게이자이신문이 오늘(1...,2024.03.10 (13:08)
https://news.kbs.co.kr//news/view.do?ncd=7909739,차량으로 지인 납치·감금한 20대 3명 체포,지인을 강제로 차량에 태워 달아난 20대 남성 3명이 약 2시간 반 만에 경찰에 붙잡혔습니...,2024.03.10 (13:08)
https://news.kbs.co.kr//news/view.do?ncd=7909737,‘일자리채움 청년지원금’ 신청자 1만 명 돌파,중소기업에 취업한 청년을 대상으로 하는 '일자리채움 청년지원금' 신청자가 만 명을 넘어섰습...,2024.03.10 (12:06)
https://news.kbs.co.kr//news/view.do?ncd=7909736,KDI “반도체 수출 증가로 경기 부진 완화”,한국개발연구원 KDI가 최근 우리 경제에 대해 내수 둔화에도 수출이 회복되면서 경기 부진이...,2024.03.10 (12:06)
https://news.kbs.co.kr//news/view.do?ncd=7909735,이종호 장관 “딥페이크에 워터마크 의무화해야”,이종호 과학기술정보통신부 장관이 인공지능 AI가 만든 이른바 딥페이크 영상이나 사진에 워터...,2024.03.10 (12:04)
https://news.kbs.co.kr//news/view.do?ncd=7909734,"경찰, 전공의 ‘분산 수사’ 준비…수천 명 고발 가능성 대비", [앵커] 경찰이 집단 사직 전공의들이 무더기 고발될  가능성에 대비해 분산 수사 지침을 ...,2024.03.10 (12:03)
