뉴스 url,제목,내용,날짜
https://news.kbs.co.kr//news/view.do?ncd=7909685,[총선] 여야 막바지 공천 작업…국힘 20곳·민주4곳 경선 발표," [앵커] 여야의 공천 작업이 이제 막바지 단계에 이르고 있습니다. 국민의힘 20곳, 더불...",2024.03.10 (07:06)
https://news.kbs.co.kr//news/view.do?ncd=7909684,"미국, 비행 중 동체 떨어져 나간 ‘여객기 사고’ 수사",비행 중 동체 일부가 떨어져 나가는 사고로 비상착륙한 보잉 737 맥스9 사고와 관련해 미...,2024.03.10 (07:04)
https://news.kbs.co.kr//news/view.do?ncd=7909683,전복 어선 예인…야간 수색 이어가, [앵커] 어제 경남 통영 욕지도 부근 바다에서 9명이 탄 어선이 전복돼 4명이 숨졌는데요...,2024.03.10 (07:03)
https://news.kbs.co.kr//news/view.do?ncd=7909682,"미 바이든, “젊지 않지만 결과 낼 줄 안다” 광고",80세가 넘은 조 바이든 미국 대통령이 자신이 다시 대통령을 하기에는 나이가 너무 많다는 ...,2024.03.10 (07:02)
https://news.kbs.co.kr//news/view.do?ncd=7909681,전 의협 회장 소환…‘전공의 블랙리스트’ 수사 시작,,2024.03.10 (07:00)
https://news.kbs.co.kr//news/view.do?ncd=7909680,서울 5호선 아차산역 역사에서 20대 남성 추락해 숨져,서울 지하철 5호선 아차산역 역사에서 20대 남성이 추락해 숨지는 사고가 발생했습니다. 경...,2024.03.10 (06:03)
https://news.kbs.co.kr//news/view.do?ncd=7909679,청주서 승용차·오토바이 충돌…오토바이 운전사 중상,오늘 새벽 1시45분 충북 청주시 오창읍의 한 교차로에서 승용차와 오토바이가 충돌했습니다....,2024.03.10 (05:47)
https://news.kbs.co.kr//news/view.do?ncd=7909678,비트코인 7만 달러 돌파에도 ‘큰 손’ 늘어…추가 상승 기대?,가상화폐 대장주 비트코인이 사상 처음 7만 달러를 돌파하는 등 최근 가격이 크게 오른 가운...,2024.03.10 (05:35)
https://news.kbs.co.kr//news/view.do?ncd=7909677,"미·영·프, 홍해서 군함과 상선 공격한 후티 드론 28대 격추",예멘의 친이란 반군 후티가 홍해와 아덴만에서 다수의 미국 군함과 벌크선을 무인기로 공격해 ...,2024.03.10 (05:15)
https://news.kbs.co.kr//news/view.do?ncd=7909676,꽃샘추위 낮부터 풀려…건조한 날씨 산불 주의,"일요일인 오늘은 전국이 맑겠고, 밤부터 차차 구름이 많아지겠습니다.  낮 기온은 서울이 1...",2024.03.10 (05:00)
https://news.kbs.co.kr//news/view.do?ncd=7909675,"미국 사법당국, 비행중 동체 일부 떨어져 나간 보잉여객기사고 수사",비행 중 동체 일부가 떨어져 나가는 사고로 비상착륙한 보잉 737 맥스9 사고와 관련해 미...,2024.03.10 (04:25)
https://news.kbs.co.kr//news/view.do?ncd=7909674,"모사드 “하마스, 라마단 기간 가자지구 불태우려 해”",이스라엘 정보기관 모사드는 팔레스타인 무장정파 하마스가 라마단 기간에 가자지구를 불태우려 ...,2024.03.10 (04:22)
https://news.kbs.co.kr//news/view.do?ncd=7909673,머스크 X “스마트TV용 앱 곧 출시”…유튜브와 경쟁,일론 머스크 테슬라 최고경영자(CEO)의 소셜미디어(SNS) 엑스(X·옛 트위터)가 조만간...,2024.03.10 (04:13)
https://news.kbs.co.kr//news/view.do?ncd=7909672,"아일랜드, 성평등 개헌 불발…국민투표서 부결",아일랜드가 헌법 내 가족과 여성의 역할을 현대적으로 재정의하기 위해 개헌을 추진했으나 국민...,2024.03.10 (04:12)
https://news.kbs.co.kr//news/view.do?ncd=7909671,스웨덴도 ‘하마스 연계 의혹’ 유엔 팔 난민기구 지원 재개,스웨덴이 팔레스타인 무장정파 하마스 연계 의혹이 제기된 유엔 팔레스타인 난민구호기구(UNR...,2024.03.10 (04:11)
https://news.kbs.co.kr//news/view.do?ncd=7909670,"바이든, 농무부 관련 등 일부 예산안 서명…셧다운 위기 넘겨",미국의 2024 회계연도(2023년 10월∼2024년 9월) 본예산안 가운데 농무부 등 일...,2024.03.10 (04:10)
https://news.kbs.co.kr//news/view.do?ncd=7909669,"바이든, 광고로 고령 논란 대응…“젊지 않지만 결과 낼 줄 안다”",올해 81세인 조 바이든 미국 대통령이 자신이 다시 대통령을 하기에는 나이가 너무 많다는 ...,2024.03.10 (00:35)
https://news.kbs.co.kr//news/view.do?ncd=7909668,"“북, 개성공단 남북연락사무소 잔해 철거 완료”",북한이 2020년 폭파하고 방치한 개성공단 내 남북공동연락사무소 건물을 완전히 치웠다고 미...,2024.03.10 (00:12)
https://news.kbs.co.kr//news/view.do?ncd=7909667,권도형 측 “미국에 ‘한국 송환’ 바꿀 권한 없어”,미국이 '테라·루나' 사태의 핵심 인물인 권도형 씨의 인도를 계속 추진하겠다는 입장을 밝힌...,2024.03.10 (00:09)
https://news.kbs.co.kr//news/view.do?ncd=7909666,전 의협 회장 소환…‘전공의 블랙리스트’ 수사 시작, [앵커] 전공의 집단 행동을 부추겼다며 고발된 대한의사협회 전현직 간부에 대한 경찰 수사...,2024.03.10 (00:05)
https://news.kbs.co.kr//news/view.do?ncd=7909665,꽃샘추위 낮부터 풀려…건조한 날씨 산불 주의,"일요일인 오늘은 전국이 맑겠고, 밤부터 차차 구름이 많아지겠습니다.  아침 기온은 전국 내...",2024.03.10 (00:01)
https://news.kbs.co.kr//news/view.do?ncd=7909841,"영국, 훈련 교관 우크라 파병 반대…“러시아 표적될 것”",데이비드 캐머런 영국 외무장관은 군대 훈련 목적이더라도 우크라이나에 서방 군대를 파병하는 ...,2024.03.10 (20:34)
https://news.kbs.co.kr//news/view.do?ncd=7909839,"[속보] 민주, TK 비례대표 후보에 임미애·조원희 선정","민주, TK 비례대표 후보에 임미애·조원희 선정[사진 출처 : 연합뉴스 / 조원희 페이스북...",2024.03.10 (20:32)
https://news.kbs.co.kr//news/view.do?ncd=7909838,"[속보]  민주, 광명을 김남희 공천…현역 양기대 경선 탈락","민주, 광명을 김남희 공천…현역 양기대 경선 탈락[사진 출처 : 연합뉴스]...",2024.03.10 (20:31)
https://news.kbs.co.kr//news/view.do?ncd=7909837,"[속보] 민주, 부평을 박선원 공천…이동주 경선 탈락","[속보] 민주, 부평을 박선원 공천…이동주 경선 탈락[속보]  민주, 광명을 김남희 공천…...",2024.03.10 (20:31)
https://news.kbs.co.kr//news/view.do?ncd=7909835,"[총선] 국민의힘 위성정당 국민의미래, 인요한·진종오 등 530명 비례 신청",4·10 총선에서 국민의힘이 비례대표 위성정당으로 만든 '국민의미래'에 530명이 공천을 ...,2024.03.10 (20:28)
https://news.kbs.co.kr//news/view.do?ncd=7909822,전북대병원 교수 집단행동 예고…82％ 사직서 제출 의향,전북대 의과대 교수들과 전북대병원 교수들이 정부의 의과대학 정원 확대 정책에 반대해 집단행...,2024.03.10 (20:02)
https://news.kbs.co.kr//news/view.do?ncd=7909818,영국 외무 “훈련 교관 우크라이나 파병도 반대”,데이비드 캐머런 영국 외무장관은 군대 훈련 목적으로도 우크라이나에 서방 군대를 파병하는 것...,2024.03.10 (19:55)
https://news.kbs.co.kr//news/view.do?ncd=7909806,사우디 아람코 지난해 순이익 24.7% 하락,세계 최대 석유회사인 사우디아라비아 국영 아람코의 지난해 순이익이 유가 하락과 원유 감산의...,2024.03.10 (19:22)
https://news.kbs.co.kr//news/view.do?ncd=7909805,"방통위원장, 이통 3사 대표와 22일 만난다…“단통법 등 가계 통신비 인하 논의”",김홍일 방송통신위원회 위원장이 오는 22일 이통 3사 대표와 첫 회동을 갖습니다.  방통위...,2024.03.10 (19:19)
https://news.kbs.co.kr//news/view.do?ncd=7909804,"삼성 19개 계열사, 내일부터 ‘2024년 상반기 공채’ 실시",삼성이 내일(11일)부터 상반기 신입사원 공개 채용을 실시합니다. 공채를 실시하는 계열사는...,2024.03.10 (19:19)
https://news.kbs.co.kr//news/view.do?ncd=7909803,"“마하 5에 도달”…미 기업, 극초음속 무인항공기 시험 성공 밝혀 [현장영상]", 미국 항공우주 회사 스트라토런치가 지난 9일(현지시간) 극초음속 연구를 위한 새로운 무인...,2024.03.10 (19:17)
https://news.kbs.co.kr//news/view.do?ncd=7909801,경기 고양시 아파트 화재…1명 부상·77명 대피,오늘(10일) 오전 9시 50분쯤 경기 고양시 일산서구의 23층짜리 아파트 10층에서 불이...,2024.03.10 (19:08)
https://news.kbs.co.kr//news/view.do?ncd=7909841,"영국, 훈련 교관 우크라 파병 반대…“러시아 표적될 것”",데이비드 캐머런 영국 외무장관은 군대 훈련 목적이더라도 우크라이나에 서방 군대를 파병하는 ...,2024.03.10 (20:34)
https://news.kbs.co.kr//news/view.do?ncd=7909839,"[속보] 민주, TK 비례대표 후보에 임미애·조원희 선정","민주, TK 비례대표 후보에 임미애·조원희 선정[사진 출처 : 연합뉴스 / 조원희 페이스북...",2024.03.10 (20:32)
https://news.kbs.co.kr//news/view.do?ncd=7909838,"[속보]  민주, 광명을 김남희 공천…현역 양기대 경선 탈락","민주, 광명을 김남희 공천…현역 양기대 경선 탈락[사진 출처 : 연합뉴스]...",2024.03.10 (20:31)
https://news.kbs.co.kr//news/view.do?ncd=7909837,"[속보] 민주, 부평을 박선원 공천…이동주 경선 탈락","[속보] 민주, 부평을 박선원 공천…이동주 경선 탈락[속보]  민주, 광명을 김남희 공천…...",2024.03.10 (20:31)
https://news.kbs.co.kr//news/view.do?ncd=7909835,"[총선] 국민의힘 위성정당 국민의미래, 인요한·진종오 등 530명 비례 신청",4·10 총선에서 국민의힘이 비례대표 위성정당으로 만든 '국민의미래'에 530명이 공천을 ...,2024.03.10 (20:28)
https://news.kbs.co.kr//news/view.do?ncd=7909822,전북대병원 교수 집단행동 예고…82％ 사직서 제출 의향,전북대 의과대 교수들과 전북대병원 교수들이 정부의 의과대학 정원 확대 정책에 반대해 집단행...,2024.03.10 (20:02)
https://news.kbs.co.kr//news/view.do?ncd=7909818,영국 외무 “훈련 교관 우크라이나 파병도 반대”,데이비드 캐머런 영국 외무장관은 군대 훈련 목적으로도 우크라이나에 서방 군대를 파병하는 것...,2024.03.10 (19:55)
https://news.kbs.co.kr//news/view.do?ncd=7909806,사우디 아람코 지난해 순이익 24.7% 하락,세계 최대 석유회사인 사우디아라비아 국영 아람코의 지난해 순이익이 유가 하락과 원유 감산의...,2024.03.10 (19:22)
https://news.kbs.co.kr//news/view.do?ncd=7909805,"방통위원장, 이통 3사 대표와 22일 만난다…“단통법 등 가계 통신비 인하 논의”",김홍일 방송통신위원회 위원장이 오는 22일 이통 3사 대표와 첫 회동을 갖습니다.  방통위...,2024.03.10 (19:19)
https://news.kbs.co.kr//news/view.do?ncd=7909804,"삼성 19개 계열사, 내일부터 ‘2024년 상반기 공채’ 실시",삼성이 내일(11일)부터 상반기 신입사원 공개 채용을 실시합니다. 공채를 실시하는 계열사는...,2024.03.10 (19:19)
https://news.kbs.co.kr//news/view.do?ncd=7909803,"“마하 5에 도달”…미 기업, 극초음속 무인항공기 시험 성공 밝혀 [현장영상]", 미국 항공우주 회사 스트라토런치가 지난 9일(현지시간) 극초음속 연구를 위한 새로운 무인...,2024.03.10 (19:17)
https://news.kbs.co.kr//news/view.do?ncd=7909801,경기 고양시 아파트 화재…1명 부상·77명 대피,오늘(10일) 오전 9시 50분쯤 경기 고양시 일산서구의 23층짜리 아파트 10층에서 불이...,2024.03.10 (19:08)
